"","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P"
"1",0.346010656010656,0.384425019425019,0.349378399378399,0.37957708957709,0.382507492507492,0.612174492174492,0.662637362637363,0.626824286824287,0.607037407037407,0.7202664002664,0.441749361749362,0.451615051615052,0.440810300810301,0.446830669330669,0.454383116883117,0.321286213786214,0.328814518814519,0.429737484737485,0.395978465978466,0.385494505494505,0.44010656010656,0.460937395937396,0.505680708180708,0.511925851925852,0.512456432456432
"2",0.543931346431346,0.480394605394605,0.580411255411255,0.447599067599068,0.494906204906205,0.804051504051504,0.724242424242424,0.734101454101454,0.710878010878011,0.816676656676657,0.456839826839827,0.44972138972139,0.417227217227217,0.461578421578422,0.453210678210678,0.39763653013653,0.395984015984016,0.396097513597514,0.492008547008547,0.457528305028305,0.420965700965701,0.515764235764236,0.460677100677101,0.405692085692086,0.328714618714619
"3",0.491596181596182,0.589423909423909,0.612853812853813,0.627675102675103,0.652307692307692,0.578463758463758,0.506882006882007,0.554936174936175,0.51038961038961,0.5401443001443,0.684259074259074,0.774283494283494,0.743647463647464,0.765644355644356,0.766839826839827,0.580719280719281,0.646020646020646,0.679072039072039,0.651770729270729,0.652880452880453,0.456112776112776,0.584652847152847,0.534659784659785,0.484317904317904,0.509621212121212
"4",0.40278416028416,0.523123543123543,0.520466200466201,0.579314019314019,0.546174936174936,0.277207237207237,0.30959706959707,0.317529137529138,0.412321012321012,0.29039849039849,0.596420246420246,0.654173604173604,0.645962370962371,0.713306693306693,0.617582972582973,0.466941391941392,0.514428904428904,0.468330280830281,0.5526221001221,0.512764457764458,0.394628704628705,0.537585747585748,0.500545010545011,0.497664557664558,0.416749916749917
"5",0.50990564990565,0.503599733599734,0.514778554778555,0.535855255855256,0.467654567654568,0.637267177267177,0.648729048729049,0.69020535020535,0.605561105561106,0.694014874014874,0.488378288378288,0.474980852480852,0.481562881562882,0.525534465534465,0.474126984126984,0.540378787878788,0.526829836829837,0.490621045621046,0.559206349206349,0.523894993894994,0.612360972360972,0.486473526473526,0.641353091353091,0.593013653013653,0.575448995448995
"6",0.707122877122877,0.635620213120213,0.672051282051282,0.638807303807304,0.633064713064713,0.340626040626041,0.27992673992674,0.330715950715951,0.393517593517594,0.292418692418692,0.53011433011433,0.610537240537241,0.517296037296037,0.572017982017982,0.597085137085137,0.368534798534799,0.356426906426906,0.327684815184815,0.364365079365079,0.356219336219336,0.460697080697081,0.355931568431568,0.439875402375402,0.374724442224442,0.324154456654457
"7",0.497903207903208,0.601811521811522,0.568983238983239,0.626295926295926,0.638127428127428,0.614438894438894,0.606648906648907,0.611817071817072,0.648795648795649,0.654985014985015,0.492993672993673,0.425545565545566,0.402611832611833,0.510919080919081,0.456998556998557,0.595659340659341,0.640018315018315,0.711334776334776,0.626608391608392,0.660324397824398,0.664586524586525,0.597532467532468,0.644084804084804,0.604130314130314,0.59036297036297
"8",0.630742590742591,0.604134199134199,0.623123543123543,0.631098901098901,0.544307359307359,0.331535131535132,0.306349206349206,0.337009657009657,0.399433899433899,0.281509601509602,0.468458208458208,0.37038073038073,0.38967920967921,0.505827505827506,0.451601731601732,0.656733266733267,0.720722610722611,0.745922688422688,0.711020091020091,0.703265623265623,0.762772782772783,0.665554445554446,0.673170163170163,0.644619824619825,0.717750582750583
"9",0.549026529026529,0.542267732267732,0.575355339105339,0.506487956487957,0.524352314352314,0.523902763902764,0.445898545898546,0.496174936174936,0.46960816960817,0.494747474747475,0.59035853035853,0.68990564990565,0.65958707958708,0.69229020979021,0.655631313131313,0.585314685314685,0.449551282051282,0.504532967032967,0.565421245421245,0.5099444999445,0.532538572538573,0.450509490509491,0.443277833277833,0.374057054057054,0.490576090576091
"10",0.366061438561439,0.385677655677656,0.364955044955045,0.400790875790876,0.435735930735931,0.718452658452658,0.652380952380952,0.670682650682651,0.659229659229659,0.745980685980686,0.703349983349983,0.746664446664447,0.761829281829282,0.751688311688312,0.781082251082251,0.554514652014652,0.616909340659341,0.606938894438894,0.55047619047619,0.604399766899767,0.657193917193917,0.679415584415584,0.612876012876013,0.561861749361749,0.563852813852814
"11",0.392879342879343,0.497097902097902,0.404879564879565,0.447822177822178,0.465033855033855,0.612174492174492,0.681440781440781,0.633539793539794,0.636707736707737,0.72997890997891,0.681427461427461,0.684313464313464,0.71949050949051,0.72971028971029,0.718420190920191,0.553716283716284,0.604195804195804,0.685363525363525,0.618077200577201,0.621728271728272,0.680634920634921,0.666533466533467,0.572812187812188,0.60046176046176,0.64014985014985
"12",0.406880064380064,0.512756132756133,0.391058941058941,0.555997058497058,0.576482128982129,0.339227439227439,0.27985347985348,0.329317349317349,0.402608502608503,0.314019314019314,0.739328449328449,0.71979575979576,0.761829281829282,0.737402597402597,0.797748917748918,0.440357142857143,0.500879120879121,0.405689588189588,0.530144855144855,0.442207792207792,0.558697968697969,0.638852813852814,0.523089133089133,0.545442335442335,0.535324675324675
"13",0.446200466200466,0.521505716505717,0.540466200466201,0.553770673770674,0.57974136974137,0.396745476745477,0.50960150960151,0.46045621045621,0.492207792207792,0.463594183594184,0.298512598512599,0.407243867243867,0.388851148851149,0.394685314685315,0.32961038961039,0.546411088911089,0.552069597069597,0.658242313242313,0.587055167055167,0.617672327672328,0.541539571539572,0.661958041958042,0.618718503718504,0.558843378843379,0.480262515262515
"14",0.674040681540682,0.604689754689755,0.647645687645688,0.683041403041403,0.577244422244422,0.415548895548896,0.522111222111222,0.49980907980908,0.473648573648574,0.497953157953158,0.584235764235764,0.463707403707404,0.445786435786436,0.574062604062604,0.489033189033189,0.432999639249639,0.355983232453821,0.407551337551338,0.50052836052836,0.437301587301587,0.469341769341769,0.388131868131868,0.424272394272394,0.420996780996781,0.379835164835165
"15",0.697224997224997,0.648240093240093,0.617365967365967,0.618560328560328,0.556525696525697,0.548895548895549,0.453646353646354,0.531279831279831,0.473704073704074,0.499160839160839,0.63014541014541,0.692403152403152,0.672275502275502,0.706496003996004,0.678845598845599,0.39797619047619,0.46150641025641,0.448196248196248,0.431952214452214,0.415866355866356,0.565467865467865,0.646823176823177,0.695875235875236,0.64008214008214,0.573060273060273
"16",0.706908646908647,0.659952824952825,0.751017871017871,0.757577977577978,0.722463092463092,0.692536352536353,0.711355311355311,0.712081252081252,0.683227883227883,0.761567321567322,0.441924741924742,0.418952158952159,0.391353091353091,0.453886113886114,0.467907647907648,0.52958152958153,0.46961371961372,0.36481684981685,0.44209706959707,0.464398934398934,0.414605394605395,0.401045621045621,0.497777777777778,0.517842157842158,0.44980685980686
"17",0.513044733044733,0.47521312021312,0.395641025641026,0.553871683871684,0.520589965589966,0.303006993006993,0.256476856476856,0.287339327339327,0.374037074037074,0.216832056832057,0.38959928959929,0.448220668220668,0.486244866244866,0.506327006327006,0.443663558663559,0.534978354978355,0.517392607392607,0.394062604062604,0.46452380952381,0.45956265956266,0.564466644466645,0.407987012987013,0.510866910866911,0.535998445998446,0.514776334776335
"18",0.426038128538129,0.555749805749806,0.552114552114552,0.591926961926962,0.604835164835165,0.480903540903541,0.586213786213786,0.552636252636253,0.515706515706516,0.518544788544789,0.357652347652348,0.390613830613831,0.441349761349761,0.433066933066933,0.371006493506494,0.590421245421245,0.636451881451881,0.687241924741925,0.623412698412698,0.646009546009546,0.615487845487846,0.591868131868132,0.53045177045177,0.616017316017316,0.523907203907204
"19",0.678917748917749,0.664521034521035,0.792214452214452,0.730078532578533,0.634163614163614,0.366904206904207,0.372094572094572,0.328695748695749,0.392041292041292,0.342872682872683,0.435082695082695,0.455461205461205,0.457144522144522,0.445521145521146,0.440847763347763,0.678683816183816,0.660832500832501,0.694151404151404,0.670438311688312,0.619539627039627,0.743969363969364,0.684225774225774,0.691637251637252,0.658661338661339,0.730260295260295
"20",0.636193251193251,0.614101454101454,0.700789210789211,0.71257659007659,0.582096792096792,0.613371073371073,0.656043956043956,0.683130203130203,0.632434232434232,0.717091797091797,0.621542901542902,0.696071706071706,0.716884226884227,0.735284715284715,0.66959595959596,0.583378288378288,0.512634032634033,0.511525974025974,0.547142857142857,0.583238983238983,0.636350316350316,0.661658341658342,0.726604784104784,0.656669996669997,0.572138972138972
"21",0.587730325230325,0.558240093240093,0.581445221445221,0.577935397935398,0.573290598290598,0.354523254523255,0.490798090798091,0.445241425241425,0.474802974802975,0.477042957042957,0.521467421467422,0.46962370962371,0.495848595848596,0.513226773226773,0.454025974025974,0.50702380952381,0.487724358974359,0.517165057165057,0.438730158730159,0.493165723165723,0.645535020535021,0.629490509490509,0.606093906093906,0.60029082029082,0.582738372738373
"22",0.425344655344655,0.403198468198468,0.344537684537685,0.312864912864913,0.430149572649573,0.543152403152403,0.489477189477189,0.510662670662671,0.491286491286491,0.55994227994228,0.564191364191364,0.570858030858031,0.60964146964147,0.662157842157842,0.636161616161616,0.409918692418692,0.461292041292041,0.436201298701299,0.420784770784771,0.39733460983461,0.494082584082584,0.532127872127872,0.485023865023865,0.53050949050949,0.445595515595516
"23",0.535214507714508,0.591012321012321,0.506187146187146,0.585970418470418,0.522307692307692,0.386830946830947,0.392052392052392,0.399130869130869,0.32990342990343,0.387659007659008,0.321906981906982,0.360943500943501,0.350840270840271,0.282877122877123,0.347748917748918,0.529166666666667,0.431051032301032,0.491587301587302,0.486462426462426,0.566421911421911,0.526602286602287,0.611070596070596,0.591717171717172,0.55020757020757,0.577973137973138
"24",0.48750999000999,0.54984348984349,0.473256743256743,0.567753357753358,0.517515817515818,0.356010656010656,0.356465756465756,0.375191475191475,0.418237318237318,0.360717060717061,0.378414918414918,0.421243201243201,0.455635475635476,0.441858141858142,0.384588744588745,0.466125541125541,0.476280802530803,0.420739538239538,0.491085858585859,0.509454156954157,0.714438894438894,0.622577422577423,0.57019869019869,0.609909812409812,0.68041292041292
"25",0.695446497946498,0.637943722943723,0.70978354978355,0.661712176712177,0.604628704628705,0.418723498723499,0.514119214119214,0.53045621045621,0.522055722055722,0.512989232989233,0.591555111555112,0.689228549228549,0.608352758352758,0.708215118215118,0.646060606060606,0.38762987012987,0.374037629037629,0.388293650793651,0.458154623154623,0.332324342324342,0.575605505605506,0.572507492507492,0.605800865800866,0.609417249417249,0.561949161949162
"26",0.693300033300033,0.63508658008658,0.69989343989344,0.683126873126873,0.618145188145188,0.554034854034854,0.596214896214896,0.567281607281607,0.564302364302364,0.551865911865912,0.474434454434454,0.440930180930181,0.380444000444,0.468171828171828,0.459336219336219,0.591935564435564,0.48997002997003,0.436428571428571,0.572799422799423,0.537037962037962,0.492776112776113,0.439652014652015,0.492420634920635,0.540958763458763,0.423665223665224
"27",0.564668664668665,0.598716838716839,0.653111888111888,0.634918414918415,0.537878787878788,0.505463425463425,0.55995115995116,0.564784104784105,0.557764457764458,0.566193806193806,0.688917748917749,0.672635142635143,0.69029082029082,0.700094905094905,0.668023088023088,0.674617882117882,0.772847152847153,0.769858474858475,0.708211233211233,0.725582195582196,0.6598112998113,0.667888777888778,0.594612332112332,0.574069264069264,0.646578976578977
