"","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P","P"
"1",0.45473205447197,0.361551735363901,0.476577697135508,0.548185909353197,0.368422056362033,0.506482011079788,0.52211629152298,0.508187597990036,0.504488390684128,0.513977327942848,0.441101363301277,0.524155956506729,0.495166409015656,0.506526923179626,0.454720890522003,0.210392981767654,0.390456534177065,0.527350457757711,0.397108660265803,0.376187866181135,0.63249236382544,0.582083637267351,0.582620193064213,0.763627427071333,0.717150448262691
"2",0.557428179681301,0.547193774208427,0.562830950692296,0.615337346121669,0.620684446394444,0.506493103504181,0.522114789485931,0.508357694745064,0.497817897796631,0.515447950363159,0.485816310346127,0.465506485104561,0.463672199845314,0.454285763204098,0.459042012691498,0.165416396036744,0.427771013602614,0.316882951557636,0.430989827122539,0.40854749456048,0.594022292643785,0.520832465216517,0.744669675827026,0.564231140911579,0.547952102124691
"3",0.79722271412611,0.745820423960686,0.796642678976059,0.847304493188858,0.847687354683876,0.505800628662109,0.522099468111992,0.540471959114075,0.504502901434898,0.513241899013519,0.450579836964607,0.525411957502365,0.495939117670059,0.506815445423126,0.447422371804714,0.516356189548969,0.701541778072715,0.803333051502705,0.647999619692564,0.559971549734473,0.395109044760466,0.677110463567078,0.511107278987765,0.478436107188463,0.57909879013896
"4",0.492341198772192,0.428139654779807,0.518926784396172,0.494064134731889,0.531859493628144,0.506489780545235,0.522121316194534,0.508189061284065,0.504472601413727,0.513865396380424,0.43557411134243,0.467374324798584,0.48012669980526,0.471636605262756,0.480876395106316,0.236151560861617,0.500040362030268,0.294685469381511,0.272002908959985,0.295822684792802,0.350133159384131,0.37985556665808,0.480757902748883,0.351601099036634,0.489806223008782
"5",0.404292684793472,0.263684735633433,0.201239844318479,0.390354455634952,0.518480995483696,0.506454169750214,0.522104585170746,0.508751273155212,0.504463654756546,0.513866364955902,0.494413228332996,0.454102817177773,0.435739324986935,0.431402565538883,0.434488183259964,0.145472806505859,0.505528531223536,0.340034265816212,0.351224792376161,0.224202635278925,0.418061007745564,0.508370158541948,0.561873250454664,0.614199722185731,0.390815830230713
"6",0.734511460736394,0.745955045521259,0.546336495876312,0.606303392536938,0.543942878767848,0.506489786505699,0.522121316194534,0.508189061284065,0.504472601413727,0.513865396380424,0.415890112891793,0.466849291324616,0.480220420658588,0.44878481477499,0.480993753671646,0.0398598213680088,0.301272021606565,0.335166263952851,0.216163099557161,0.0758182383142412,0.516051128134131,0.344809215515852,0.59432110413909,0.48469765484333,0.552666625380516
"7",0.790297773480415,0.569620066136122,0.896319669485092,0.724455833435059,0.840590181946754,0.506463584303856,0.519901162385941,0.508184015750885,0.50388003885746,0.515180703997612,0.501957231760025,0.467845989763737,0.483101432025433,0.50419515222311,0.467438408732414,0.535742846503854,0.714147293195128,0.793058647215366,0.686005245149136,0.659636955708265,0.881867158412933,0.741730616986752,0.674195914715529,0.62059744335711,0.768148793280125
"8",0.776807610690594,0.753543886914849,0.670430064573884,0.66553683578968,0.514587864652276,0.50648977458477,0.522121316194534,0.508189061284065,0.504472601413727,0.513865396380424,0.529383999109268,0.429533419758081,0.463992245495319,0.467640723288059,0.480042678117752,0.64386525452137,0.767984610795975,0.856529842317104,0.85658615231514,0.795191486738622,0.819427433609963,0.697127896547318,0.678756093606353,0.657464418187737,0.811639650538564
"9",0.530908017605543,0.652516840398312,0.716719894856215,0.621789038926363,0.633795627951622,0.509369230270386,0.522120398283005,0.500859263539314,0.504547420144081,0.513913434743881,0.427902871370316,0.523543086647987,0.490599536895752,0.501965487003326,0.440185192227364,0.668823262676597,0.576167499832809,0.480839535221458,0.720202858746052,0.467596969753504,0.532776445895433,0.506091825664043,0.466015374474227,0.350458475202322,0.494308241456747
"10",0.239678442408331,0.192751769535244,0.216038288548589,0.188545564282686,0.391921301372349,0.506488782167435,0.522120696306229,0.508198127150536,0.504416507482529,0.514124029874802,0.450584618747234,0.54018337726593,0.497680646181107,0.505411288142204,0.443946893885732,0.473266957327724,0.701057994365692,0.728122846782208,0.658761220425367,0.558993448317051,0.74957258105278,0.778801403194666,0.62807974666357,0.716288302093744,0.679162539541721
